Star,Con,RA,Dec,Type,Max,Min,Period,Chart,Class,Eclipse Duration
,,,,,,,,,pulsating
U,Mon,07 31,-09 47,RVB,5.45,7.67,91.32,29.04,pulsating
RV,Mon,06 58,+06 10,SRb,6.88,7.7,132,292.01,pulsating
SX,Mon,06 52,+04 46,SRb,7.43,8.21,77.67,292.01,pulsating
V686,Mon,07 26,-03 06,M,11.5,<21p,337.5,TA 930221,pulsating
,,,,,,,,,pulsating
X,Oph,18 38,+08 50,M,5.9,8.6,338,99.02,pulsating
RY,Oph,18 16,+03 41,M,7.4,13.8,150.41,AAVSO,pulsating
V2303,Oph,18 38,+11 11,SR,11.1,<12.5,,282.01,pulsating
,,,,,,,,,pulsating
U,Ori,05 55,+20 11,M,4.8,13,377,59.02,pulsating
W,Ori,05 05,+01 11,SRb,5.5,6.9,212,105.02,pulsating
BL,Ori,06 26,+14 43,SRb,5.9,6.6,153.8,211.02,pulsating
BQ,Ori,05 57,+22 50,SRb,7.1,9,243,295.02,pulsating
V352,Ori,06 02,-02 21,SRb,6.9,8.2,118.6,AAVSO,pulsating
TAV 0559 +06,Ori,06 02,+06 38,SRa?,10.9,12.9,,308.01,pulsating
,,,,,,,,,pulsating
R ,Peg,23 07,+10 33,M,6.9,13.8,378.1,AAVSO,pulsating
X,Peg,21 21,+14 27,M,8.8,14.4,201.2,AAVSO,pulsating
GO,Peg,22 55,+19 34,SRb,7.14,7.91,79.3,103.02,pulsating
PV,Peg,22 24,+31 16,SRb,6.6,7.7,520,AAVSO,pulsating
,,,,,,,,,pulsating
R,Per,03 30 ,+35 40,M,8.1,14.8,209.89,AAVSO,pulsating
S,Per,02 23,+58 35,SRc,7.9,12.8,822,50.01,pulsating
AD,Per,02 21,+57 00,SRc,7.7,8.4,362.5,344.01,pulsating
BU,Per,02 19,+57 25,SRc,9,10,367,63.01,pulsating
KK,Per,02 10,+56 34,Lc,7.49,7.99,,344.01,pulsating
PR,Per,02 22,+57 52,Lc,7.7,8.2,,344.01,pulsating
RS,Per,02 22,+57 07,SRc,7.82,9,244.5,63.01,pulsating
SU,Per,02 22,+56 36,SRc,7.2,8.7,533,344.01,pulsating
SW ,Per,04 11,+42 13,SRb,7.8,9.2,78.5,AAVSO,pulsating
V513,Per,03 33,+41 26,M,10.4,13,,TA 981227,pulsating
TAV 0346 +38,Per,03 49,+38 47,C Star,10.3,12.2,,307.01,pulsating
,,,,,,,,,pulsating
Z,Psc,01 16,+25 46,SRb,6.37,7.49,155.8,278.01,pulsating
RT,Psc,01 14,+27 08,SRb,8.2,10.4p,70,AAVSO,pulsating
TV,Psc,00 28,+17 54,SR,4.65,5.42,49.1,1972Sep09,pulsating
TX,Psc,23 46,+03 29,Lb,4.79,5.2,,276.01,pulsating
,,,,,,,,,pulsating
R,Sct,18 48,-05 42,RVA,4.2,8.6,146.5,26.04,pulsating
S,Sct,18 50,-07 54,SRb,6.6,7.3,149.7,26.04,pulsating
FR,Sct,18 23,-12 41,L+EA,11.6,12.91B,3.53405,87.01,pulsating
,,,,,,,,,pulsating
tau 4,Ser,15 36,+15 05,SRb,5.89,7.07,86.7,209.01,pulsating
R,Ser,15 51,+15 08,M,5.16,14.4,356.41,33.02,pulsating
,,,,,,,,,pulsating
V,Tau,04 52,+17 32,M,8.5,14.6,168.7,AAVSO,pulsating
Y,Tau,05 46,+20 42,SRb,6.4,7.3,245,295.02,pulsating
RV,Tau,04 47,+26 11,RVB,8.9,11.1,78.731,56.02,pulsating
TT,Tau,04 52,+28 32,SRb,8.1,8.8,165.5,301.01,pulsating
V1258 (NSV2249),Tau,05 35,+23 53,M,11.1,18.5,438,TA,pulsating
,,,,,,,,,pulsating
R ,Tri,02 37,+34 16,M,5.4,12.6,266.9,339.01,pulsating
W,Tri,02 42,+34 31,SRc,7.4,8.4,108,114.02,pulsating
,,,,,,,,,pulsating
R ,UMa,10 45,+68 47,M,6.5,13.7,301.62,340.01,pulsating
S,UMa,12 44,+61 06,M,7.1,12.7,225.87,341.01,pulsating
T,UMa,12 36,+59 29,M,6.8,13.5,256.6,66.02,pulsating
V,UMa,09 08,+51 07,SRb,9.5,11.5,207.65,AAVSO,pulsating
Y,UMa,12 40,+55 51,SRb,7.7,9.2,168,AAVSO,pulsating
Z,UMa,11 57,+57 52,SRb,6.2,9.4,195.5,217.02,pulsating
FY,UMa,09 06,+64 47,SRb,9.04,9.80 Hp,,AAVSO,pulsating
RY,UMa,12 21,+61 19,SRb,6.49,7.94,310,217.02,pulsating
RZ ,UMa,08 10,+64 47,SRb,9.7,11.9p,115,AAVSO,pulsating
ST,UMa,11 28,+45 11,SRb,6,7.2,80,102.02,pulsating
TV,UMa,11 46,+35 54,SRb,6.72,7.45,53.74,271.01,pulsating
VW,UMa,10 59,+69 59,SR,6.69,7.71,615,226.02,pulsating
VY,UMa,10 45,+67 25,SRb,5.73,6.32,120.4,226.02,pulsating
,,,,,,,,,pulsating
R,UMi,16 30,+72 17,SRb,8.5,11.5,325.7,AAVSO,pulsating
S,UMi,15 30,+78 38,M,7.5,<13.2,331,AAVSO,pulsating
V,UMi,13 39,+74 19,SRb,7.06,8.7,73,101.02,pulsating
,,,,,,,,,pulsating
S,Vir,13 33,-07 12,M,6.3,13.2,375.1,AAVSO,pulsating
BK,Vir,12 30,+04 25,SRb,7.28,8.8,140,270.01,pulsating
IW,Vir,11 38,+04 19,Lb,8.79,9.52 Hp,,AAVSO,pulsating
RW,Vir,12 07,-06 46,SRb,6.71,7.5,175,317.01,pulsating
SS,Vir,12 25,+00 48,SRa,6,9.6,361,97.02,pulsating
SW,Vir,13 14,-02 48,SRb,6.2,8,146,98.02,pulsating
,,,,,,,,,pulsating
R,Vul,21 04,+22 49,M,7,14.3,136.73,AAVSO,pulsating
V,Vul,20 36,+26 36,RVA,8.05,9.75,76.07,58.02,pulsating
RZ,Vul,19 47,+19 29,RVB,11.7,15.0V,89.5,AAVSO,pulsating
V335,Vul,19 23,+24 30,M,11.5,13.9,353.64,280.01,pulsating
V336,Vul,19 35,+23 53,SRb,7.6,9.2,131.6,AAVSO,pulsating
 ,,,,,,,,,

TW,And,00 03,+32 51,,8.8,10.9,4.12,AAVSO 122901,eclipsing,13
AD,And,23 37,+48 40,,10.9,11.6p,0.99,1984Dec22,eclipsing,EB
DS,And,01 59,+38 05,,10.4,10.9p,1.01,1984Dec22,eclipsing,EB
 , , , ,, , , , ,eclipsing, 
OO,Aql,19 48,+09 18,,9.2,9.9,0.51,AAVSO 0801,eclipsing,EW
 , , , ,, , , , ,eclipsing, 
SX,Aur,05 12,+42 10,,8.4,9.1,1.21,1984Dec23,eclipsing,EB
WW,Aur,06 33,+32 27,,5.8,6.5,2.53,AAVSO 122901,eclipsing,6
AR,Aur,05 18,+33 46,,6.2,6.8,4.13,283.01,eclipsing,7
EO,Aur,05 18,+36 38,,7.6,8.1,4.07,283.01,eclipsing,12
HL,Aur,06 19,+49 43,,10.8,11.9p,0.62,1984Dec23,eclipsing,EB
IM,Aur,05 16,+46 25,,7.9,8.5,1.25,1972Feb04,eclipsing,6
IU,Aur,05 28,+34 47,,8.2,8.8,1.81,1984Dec24,eclipsing,EB
LY,Aur,05 30,+35 23,,6.7,7.4,4,283.01,eclipsing,EB
Epsilon,Aur,05 02,+43 49,,2.9,3.8,9892,316.01,eclipsing, 
 , , , ,, , , , ,eclipsing, 
ZZ,Boo,13 56,+25 55,,6.8,7.4,4.99,252.01,eclipsing,7
 , , , ,, , , , ,eclipsing, 
RS,CVn,13 11,+35 56,,7.9,9.1,4.8,253.01,eclipsing,13
 , , , ,, , , , ,eclipsing, 
RZ,Cas,02 49,+69 38,,6.2,7.7,1.2,236.02,eclipsing,5
TV,Cas,00 19,+59 08,,7.2,8.2,1.81,1982Aug16,eclipsing,8
TW,Cas,02 46,+65 44,,8.3,9,1.43,273.01,eclipsing,5
TX,Cas,02 52,+62 47,,9.2,9.8,2.93,1985Jun08,eclipsing,EB
AB,Cas,02 38,+71 18,,10.1,11.9,1.37,AAVSO 0801,eclipsing,6
BM,Cas,00 55,+64 05,,8.8,9.3,197.28,1986Jul05,eclipsing,EB
DO,Cas,02 41,+60 33,,8.4,9,0.68,1986Jul05,eclipsing,EB
 , , , ,, , , , ,eclipsing, 
U,Cep,01 02,+81 03,,6.8,9.4,2.49,279.01,eclipsing,9
VW,Cep,20 37,+75 36,,7.2,7.7,0.28,1972Mar21,eclipsing,EW
EG,Cep,20 16,+76 49,,9.3,10.2,0.54,AAVSO 0801,eclipsing,EB
EI,Cep,21 29,+76 24,,7.5,8.1,8.44,1972Mar21,eclipsing,12
GK,Cep,21 31,+70 49,,6.9,7.4,0.94,1971Dec02,eclipsing,EB
 , , , ,, , , , ,eclipsing, 
U,CrB,15 18,+31 39,,7.7,8.8,3.45,254.01,eclipsing,12
 , , , ,, , , , ,eclipsing, 
Y,Cyg,20 52,+34 39,,7.3,7.9,3,1986Jul06,eclipsing,7
SW,Cyg,20 07,+46 18,,9.2,11.8,4.57,AAVSO 0801,eclipsing,13
BR,Cyg,19 41,+46 47,,9.4,10.6,1.33,AAVSO 0801,eclipsing,6
V367,Cyg,20 48,+39 17,,6.7,7.6,18.6,1986Jul06,eclipsing,EB
V448,Cyg,20 06,+35 23,,7.9,8.7,6.52,1986Jul06,eclipsing,EB
V453,Cyg,20 07,+35 44,,8.3,8.7,3.89,1986Jul06,eclipsing,14
V477,Cyg,20 06,+31 58,,8.5,9.3,2.35,1972Feb05,eclipsing,4
 , , , ,, , , , ,eclipsing, 
Z,Dra,11 46,+72 15,,10.8,14.1p,1.36,1993Jan10,eclipsing,5
TW,Dra,15 34,+63 54,,7.3,8.9,2.81,274.01,eclipsing,11
AI,Dra,16 56,+52 42,,7.1,8.1,1.2,284.01,eclipsing,5
BH,Dra,19 04,+57 27,,8,8.6,1.82,285.01,eclipsing,5
 , , , ,, , , , ,eclipsing, 
S,Equ,20 57,+05 05,,8,10.1,3.44,286.01,eclipsing,11
 , , , ,, , , , ,eclipsing, 
eta,Gem,06 15,+22 30,,3.1, ,2984,326.01,eclipsing, 
RW,Gem,06 02,+23 09,,9.5,11.8,2.87,1994Mar12,eclipsing,10
 , , , ,, , , , ,eclipsing, 
68u,Her,17 17,+33 06,,4.7,5.4,2.05,1971Aug27,eclipsing,14
Z,Her,17 58,+15 08,,7.3,8.2,3.99,1972Feb06,eclipsing,11
RX,Her,18 31,+12 37,,7.3,7.9,1.78,1972Jun12,eclipsing,6
 , , , ,, , , , ,eclipsing, 
SW,Lac,22 54,+37 56,,8.5,9.4,0.32,1987Nov,eclipsing,EW
AR,Lac,22 09,+45 45,,6.1,6.8,1.98,1971Feb13,eclipsing,7
CM,Lac,22 00,+44 33,,8.2,9.2,1.6,1987Nov,eclipsing,4
 , , , ,, , , , ,eclipsing, 
UV,Leo,10 38,+14 16,,8.9,9.6,0.6,1987Nov,eclipsing,3
AP,Leo,11 05,+05 09,,9.3,9.9,0.43,1987Nov,eclipsing,EW
 , , , ,, , , , ,eclipsing, 
Delta,Lib,15 01,-08 31,,4.9,5.9,2.33,1987Nov,eclipsing,13
 , , , ,, , , , ,eclipsing, 
NSV4031,Lyn,08 23,+45 28,,8,8.8, ,275.01,eclipsing, 
 , , , ,, , , , ,eclipsing, 
Beta ,Lyr,18 50,+33 22,,3.3,4.4,12.91,328.01,eclipsing,EB
TZ,Lyr,18 16,+41 07,,10.6,11.3,0.53,1987Nov,eclipsing,EB
 , , , ,, , , , ,eclipsing, 
V505,Mon,06 46,+02 30,,7.2,7.7,53.78,1971Aug22,eclipsing,EB
 , , , ,, , , , ,eclipsing, 
U,Oph,17 17,+01 13,,5.8,6.6,1.68,1971Dec12,eclipsing,6
V451,Oph,18 29,+10 53,,7.9,8.5p,2.2,1972Jun12,eclipsing,6
V566,Oph,17 57,+04 59,,7.5,8,0.41,1972Jun11,eclipsing,EW
 , , , ,, , , , ,eclipsing, 
ER,Ori,05 11,-08 33,,9.3,10,0.42,1987Nov,eclipsing,EW
 , , , ,, , , , ,eclipsing, 
EE,Peg,21 40,+09 11,,6.9,7.5,2.63,245.01,eclipsing,6
 , , , ,, , , , ,eclipsing, 
Beta ,Per,03 08,+40 57,,2.1,3.4,2.87,327.01,eclipsing,10
Z,Per,02 40,+42 12,,9.7,12.4p,3.06,1994Mar12,eclipsing,10
DM,Per,02 26,+56 06,,7.9,8.6,2.73,1972Apr09,eclipsing,11
IQ,Per,04 00,+48 09,,7.7,8.7,1.74,246.01,eclipsing,5
IZ,Per,01 32,+54 01,,7.8,9,3.69,1972Feb14,eclipsing,11
 , , , ,, , , , ,eclipsing, 
SZ,Psc,23 13,+02 41,,7.2,7.7,3.97,1972Jun11,eclipsing,10
 , , , ,, , , , ,eclipsing, 
U,Sge,19 19,+19 37,,6.5,9.3,3.38,287.01,eclipsing,14
 , , , ,, , , , ,eclipsing, 
Lambda,Tau,04 01,+12 29,,3.4,3.9,3.95,1993Oct22,eclipsing,14
RW,Tau,04 04,+28 08,,8,11.2,2.77,1984Dec18,eclipsing,9
BV,Tau,05 39,+22 55,,11.7,12.4p,0.93,1985Jan31,eclipsing,EB
CD,Tau,05 18,+20 08,,6.8,7.3,3.44,1972Feb04,eclipsing,7
HU,Tau,04 38,+20 41,,5.9,6.7,2.06,247.01,eclipsing,7
