Variable Star,Number of Observations,Number of Observers,First Observation JD / UT,Latest Observation JD / UT,Maximum Magnitude,Minimum Magnitude,Range
BETA LYR,11161,109,2411848.500000 26 Apr 1891 00:00:00.000000,2459817.401000 25 Aug 2022 21:37:26.400000,1.000,4.800,3.800 
BETA PEG,2517,37,2411739.000000 6 Jan 1891 12:00:00.000000,2459877.408000 24 Oct 2022 21:47:31.200000,1.800,3.500,1.700 
BETA PER,2734,33,2411741.312500 8 Jan 1891 19:30:00.000000,2459106.688000 14 Sep 2020 04:30:43.200000,1.700,4.100,2.400 
BETA SCO,1,1,2457946.300000 11 Jul 2017 19:12:00.000000,2457946.300000 11 Jul 2017 19:12:00.000000,1.900,1.900,0.000 
BF AUR,192,4,2449746.547200 29 Jan 1995 01:07:58.080000,2459138.624000 16 Oct 2020 02:58:33.600000,8.600,9.500,0.900 
BF CEP,7,1,2453002.377800 28 Dec 2003 21:04:01.920000,2453340.295100 30 Nov 2004 19:04:56.640000,11.300,14.400,3.100 
BF CYG,5206,34,2447291.570800 10 May 1988 01:41:57.120000,2459898.365000 14 Nov 2022 20:45:36.000000,8.300,13.500,5.200 
BF ERI,11,1,2451923.374300 13 Jan 2001 20:58:59.520000,2453267.575000 19 Sep 2004 01:48:00.000000,13.400,14.200,0.800 
BF MON,1,1,2450011.605000 21 Oct 1995 02:31:12.000000,2450011.605000 21 Oct 1995 02:31:12.000000,11.700,11.700,0.000 
BG ARI,97,1,2458126.333000 7 Jan 2018 19:59:31.200000,2459904.378000 20 Nov 2022 21:04:19.200000,14.200,15.500,1.300 
BG CYG,15,2,2452415.529200 21 May 2002 00:42:02.880000,2456158.401400 18 Aug 2012 21:38:00.960000,9.800,13.100,3.300 
BG DRA,1,1,2449123.524000 16 May 1993 00:34:33.600000,2449123.524000 16 May 1993 00:34:33.600000,11.200,11.200,0.000 
BG HER,7,1,2447631.546528 15 Apr 1989 01:07:00.019200,2447707.429861 29 Jun 1989 22:18:59.990400,9.400,10.800,1.400 
BH DRA,128,4,2450344.472000 17 Sep 1996 23:19:40.800000,2458819.333000 1 Dec 2019 19:59:31.200000,7.600,10.400,2.800 
BH Lac,2,1,2459518.457000 30 Oct 2021 22:58:04.800000,2459599.306000 19 Jan 2022 19:20:38.400000,11.800,12.300,0.500 
BH LYN,32,1,2448267.545100 11 Jan 1991 01:04:56.640000,2448597.444400 6 Dec 1991 22:39:56.160000,14.040,15.830,1.790 
BH VUL,1,1,2449073.658000 27 Mar 1993 03:47:31.200000,2449073.658000 27 Mar 1993 03:47:31.200000,11.200,11.200,0.000 
BI CRU,2,1,2456457.851000 14 Jun 2013 08:25:26.400000,2456477.828000 4 Jul 2013 07:52:19.200000,10.600,11.100,0.500 
BI CYG,4308,58,2441470.492300 1 Jun 1972 23:48:54.720000,2459893.338000 9 Nov 2022 20:06:43.200000,8.300,10.800,2.500 
BI HER,1,1,2456150.407600 10 Aug 2012 21:46:56.640000,2456150.407600 10 Aug 2012 21:46:56.640000,12.000,12.000,0.000 
BI LYR,2,2,2448810.472000 6 Jul 1992 23:19:40.800000,2456158.364600 18 Aug 2012 20:45:01.440000,10.800,12.400,1.600 
BI MON,9,1,2452374.380600 9 Apr 2002 21:08:03.840000,2453059.417400 23 Feb 2004 22:01:03.360000,9.900,13.800,3.900 
BI ORI,145,4,2451189.333000 10 Jan 1999 19:59:31.200000,2459646.346000 7 Mar 2022 20:18:14.400000,12.200,15.600,3.400 
BK CYG,1,1,2448418.520000 11 Jun 1991 00:28:48.000000,2448418.520000 11 Jun 1991 00:28:48.000000,10.500,10.500,0.000 
BK HER,4,1,2447682.424306 4 Jun 1989 22:11:00.038400,2447685.517361 8 Jun 1989 00:24:59.990400,10.900,10.900,0.000 
BK LYR,2,2,2456158.367400 18 Aug 2012 20:49:03.360000,2459106.403000 13 Sep 2020 21:40:19.200000,12.600,14.400,1.800 
BK OPH,2,1,2447766.379861 27 Aug 1989 21:06:59.990400,2447766.390972 27 Aug 1989 21:22:59.980800,10.200,10.200,0.000 
BK ORI,10,1,2452374.372200 9 Apr 2002 20:55:58.080000,2453267.636100 19 Sep 2004 03:15:59.040000,10.500,13.200,2.700 
BK VIR,958,13,2443876.736000 3 Jan 1979 05:39:50.400000,2459732.453000 1 Jun 2022 22:52:19.200000,7.200,9.000,1.800 
BL CAS,1,1,2450140.335000 26 Feb 1996 20:02:24.000000,2450140.335000 26 Feb 1996 20:02:24.000000,10.400,10.400,0.000 
BL CYG,1,1,2448037.452000 25 May 1990 22:50:52.800000,2448037.452000 25 May 1990 22:50:52.800000,10.900,10.900,0.000 
BL LAC,2497,13,2445938.492000 25 Aug 1984 23:48:28.800000,2459906.301000 22 Nov 2022 19:13:26.400000,11.900,15.900,4.000 
BL ORI,3348,69,2439865.400000 9 Jan 1968 21:36:00.000000,2459904.375000 20 Nov 2022 21:00:00.000000,5.710,7.700,1.990 
BM AND,4,1,2459236.330000 21 Jan 2021 19:55:12.000000,2459585.374000 5 Jan 2022 20:58:33.600000,11.800,13.000,1.200 
BM CAS,173,2,2452853.484700 1 Aug 2003 23:37:58.080000,2458838.384000 20 Dec 2019 21:12:57.600000,8.700,9.500,0.800 
BM ERI,14,1,2457429.330000 10 Feb 2016 19:55:12.000000,2459176.403000 22 Nov 2020 21:40:19.200000,7.500,7.900,0.400 
BM GEM,226,10,2447303.256300 21 May 1988 18:09:04.320000,2448162.612500 28 Sep 1990 02:42:00.000000,7.700,10.700,3.000 
BM ORI,5,1,2454498.263000 1 Feb 2008 18:18:43.200000,2457421.279000 2 Feb 2016 18:41:45.600000,5.500,8.500,3.000 
BM SCO,1,1,2443315.486000 20 Jun 1977 23:39:50.400000,2443315.486000 20 Jun 1977 23:39:50.400000,6.500,6.500,0.000 
BN GEM,2393,21,2443113.465000 30 Nov 1976 23:09:36.000000,2459221.337000 6 Jan 2021 20:05:16.800000,6.280,7.500,1.220 
BO CAR,8,1,2445857.487000 5 Jun 1984 23:41:16.800000,2451260.944000 23 Mar 1999 10:39:21.600000,7.100,7.800,0.700 
BO LAC,1,1,2454834.305600 2 Jan 2009 19:20:03.840000,2454834.305600 2 Jan 2009 19:20:03.840000,15.000,15.000,0.000 
BO MUS,8,1,2445227.215000 14 Sep 1982 17:09:36.000000,2451260.929000 23 Mar 1999 10:17:45.600000,6.100,6.800,0.700 
BP CAS,1,1,2448203.391000 7 Nov 1990 21:23:02.400000,2448203.391000 7 Nov 1990 21:23:02.400000,11.400,11.400,0.000 
BP CRA,2,1,2456552.921000 17 Sep 2013 10:06:14.400000,2456584.885000 19 Oct 2013 09:14:24.000000,13.500,13.700,0.200 
BP CYG,2,1,2447697.460417 19 Jun 1989 23:03:00.028800,2447697.463194 19 Jun 1989 23:06:59.961600,10.500,10.500,0.000 
BP GEM,26,2,2451982.434700 13 Mar 2001 22:25:58.080000,2455601.397900 8 Feb 2011 21:32:58.560000,10.000,14.800,4.800 
BP TAU,4,1,2459268.365000 22 Feb 2021 20:45:36.000000,2459599.399000 19 Jan 2022 21:34:33.600000,11.700,12.300,0.600 
BQ GEM,1906,50,2440308.448000 27 Mar 1969 22:45:07.200000,2459221.337000 6 Jan 2021 20:05:16.800000,4.800,6.100,1.300 
BQ ORI,5569,79,2440564.488000 8 Dec 1969 23:42:43.200000,2459906.392000 22 Nov 2022 21:24:28.800000,6.100,9.800,3.700 
BR CVN,1413,9,2442101.606000 23 Feb 1974 02:32:38.400000,2459888.278000 4 Nov 2022 18:40:19.200000,5.800,10.600,4.800 
BR ERI,13,2,2452639.365300 30 Dec 2002 20:46:01.920000,2459176.406000 22 Nov 2020 21:44:38.400000,7.300,8.300,1.000 
BR GEM,9,3,2451146.545100 29 Nov 1998 01:04:56.640000,2452699.488200 28 Feb 2003 23:43:00.480000,12.900,15.600,2.700 
BR Lup,7,1,2451250.127000 12 Mar 1999 15:02:52.800000,2451263.203000 25 Mar 1999 16:52:19.200000,14.400,14.700,0.300 
BR SER,1,1,2449785.667000 9 Mar 1995 04:00:28.800000,2449785.667000 9 Mar 1995 04:00:28.800000,11.700,11.700,0.000 
BT CAS,20,1,2450113.280000 30 Jan 1996 18:43:12.000000,2451164.234000 16 Dec 1998 17:36:57.600000,11.000,13.500,2.500 
BT CRB,245,1,2458231.528000 23 Apr 2018 00:40:19.200000,2459860.318000 7 Oct 2022 19:37:55.200000,14.500,16.000,1.500 
BT SGE,1,1,2448825.478000 21 Jul 1992 23:28:19.200000,2448825.478000 21 Jul 1992 23:28:19.200000,11.300,11.300,0.000 
BU GEM,6565,104,2410026.430556 29 Apr 1886 22:20:00.038400,2459906.392000 22 Nov 2022 21:24:28.800000,5.500,8.300,2.800 
BU LAC,1,1,2450217.551000 14 May 1996 01:13:26.400000,2450217.551000 14 May 1996 01:13:26.400000,9.900,9.900,0.000 
BU PER,4752,65,2441636.625000 15 Nov 1972 03:00:00.000000,2459908.257000 24 Nov 2022 18:10:04.800000,7.710,10.900,3.190 
BU TAU,6179,94,2439854.300000 29 Dec 1967 19:12:00.000000,2459887.694000 4 Nov 2022 04:39:21.600000,4.200,6.740,2.540 
BV Cen,8,1,2451250.083000 12 Mar 1999 13:59:31.200000,2451263.197000 25 Mar 1999 16:43:40.800000,12.900,13.500,0.600 
BV CVN,13,1,2452114.465300 23 Jul 2001 23:10:01.920000,2456997.476000 5 Dec 2014 23:25:26.400000,6.800,7.200,0.400 
BV PER,3,1,2447508.471000 12 Dec 1988 23:18:14.400000,2447539.424306 12 Jan 1989 22:11:00.038400,9.700,10.700,1.000 
BV Pup,8,1,2451249.964000 12 Mar 1999 11:08:09.600000,2451262.917000 25 Mar 1999 10:00:28.800000,13.600,14.700,1.100 
BV TAU,54,1,2451499.431900 16 Nov 1999 22:21:56.160000,2454803.432600 2 Dec 2008 22:22:56.640000,11.600,12.400,0.800 
BW AND,1,1,2447920.399000 28 Jan 1990 21:34:33.600000,2447920.399000 28 Jan 1990 21:34:33.600000,11.200,11.200,0.000 
BW BOO,213,1,2450515.491700 7 Mar 1997 23:48:02.880000,2452224.235400 10 Nov 2001 17:38:58.560000,6.600,7.400,0.800 
BW MON,1,1,2448646.521000 25 Jan 1992 00:30:14.400000,2448646.521000 25 Jan 1992 00:30:14.400000,9.000,9.000,0.000 
BW SCL,2,1,2456603.853000 7 Nov 2013 08:28:19.200000,2456606.856000 10 Nov 2013 08:32:38.400000,14.400,14.600,0.200 
BW TAU,249,6,2444937.503000 29 Nov 1981 00:04:19.200000,2459632.364000 21 Feb 2022 20:44:09.600000,12.700,14.800,2.100 
BX AND,38,1,2450705.356900 13 Sep 1997 20:33:56.160000,2450727.396500 5 Oct 1997 21:30:57.600000,8.900,9.830,0.930 
BX MON,931,14,2448265.524300 9 Jan 1991 00:34:59.520000,2459636.467000 25 Feb 2022 23:12:28.800000,9.300,13.200,3.900 
BY CAM,988,2,2450038.544400 17 Nov 1995 01:03:56.160000,2459636.359000 25 Feb 2022 20:36:57.600000,13.500,15.900,2.400 
BY CIR,1,1,2456457.911000 14 Jun 2013 09:51:50.400000,2456457.911000 14 Jun 2013 09:51:50.400000,13.700,13.700,0.000 
BY LYN,901,13,2440590.646000 4 Jan 1970 03:30:14.400000,2459221.365000 6 Jan 2021 20:45:36.000000,6.670,7.600,0.930 
BZ AND,2125,42,2440858.438000 28 Sep 1970 22:30:43.200000,2459877.417000 24 Oct 2022 22:00:28.800000,6.600,9.200,2.600 
BZ CAM,1122,2,2451981.388900 12 Mar 2001 21:20:00.960000,2459887.556000 4 Nov 2022 01:20:38.400000,11.800,15.300,3.500 
BZ UMA,2534,20,2448259.493000 2 Jan 1991 23:49:55.200000,2459739.444000 8 Jun 2022 22:39:21.600000,10.400,16.500,6.100 
CC CAM,117,7,2447500.436000 4 Dec 1988 22:27:50.400000,2458974.364000 4 May 2020 20:44:09.600000,10.400,14.800,4.400 
CC CNC,732,4,2450395.611100 8 Nov 1996 02:39:59.040000,2459699.397000 29 Apr 2022 21:31:40.800000,13.300,15.840,2.540 
CC COM,6,1,2449838.424300 30 Apr 1995 22:10:59.520000,2449845.481900 7 May 1995 23:33:56.160000,11.400,11.700,0.300 
CC CYG,1,1,2448158.469000 23 Sep 1990 23:15:21.600000,2448158.469000 23 Sep 1990 23:15:21.600000,10.000,10.000,0.000 
CC Scl,2,1,2456603.851000 7 Nov 2013 08:25:26.400000,2456606.852000 10 Nov 2013 08:26:52.800000,14.100,14.700,0.600 
CCYG,1,1,2451818.348600 30 Sep 2000 20:21:59.040000,2451818.348600 30 Sep 2000 20:21:59.040000,11.100,11.100,0.000 
CD GEM,25,2,2451982.420800 13 Mar 2001 22:05:57.120000,2455840.384700 5 Oct 2011 21:13:58.080000,9.900,15.000,5.100 
CD TAU,307,3,2443900.254000 26 Jan 1979 18:05:45.600000,2459138.624000 16 Oct 2020 02:58:33.600000,6.700,7.800,1.100 
CE LYN,1262,14,2450924.417300 20 Apr 1998 22:00:54.720000,2459906.389000 22 Nov 2022 21:20:09.600000,6.900,9.400,2.500 
CE TAU,1594,42,2440308.400000 27 Mar 1969 21:36:00.000000,2459221.253000 6 Jan 2021 18:04:19.200000,4.100,5.640,1.540 
CF CET,6,1,2458694.580000 30 Jul 2019 01:55:12.000000,2459852.478000 29 Sep 2022 23:28:19.200000,6.400,6.700,0.300 
CF HER,25,1,2454649.413900 1 Jul 2008 21:56:00.960000,2456150.413900 10 Aug 2012 21:56:00.960000,10.900,14.800,3.900 
CF LYR,1,1,2450257.477000 22 Jun 1996 23:26:52.800000,2450257.477000 22 Jun 1996 23:26:52.800000,11.700,11.700,0.000 
CF PER,4,1,2459307.455000 2 Apr 2021 22:55:12.000000,2459665.417000 26 Mar 2022 22:00:28.800000,11.300,11.900,0.600 
CG CAM,617,2,2450810.448600 27 Dec 1997 22:45:59.040000,2455443.374300 3 Sep 2010 20:58:59.520000,13.100,14.400,1.300 
CG CEP,131,2,2453044.288900 8 Feb 2004 18:56:00.960000,2454279.485400 27 Jun 2007 23:38:58.560000,14.400,15.500,1.100 
CG CET,2,1,2458694.578000 30 Jul 2019 01:52:19.200000,2458724.526000 29 Aug 2019 00:37:26.400000,7.400,7.500,0.100 
CG CMA,22,4,2451585.369400 10 Feb 2000 20:51:56.160000,2456352.926000 1 Mar 2013 10:13:26.400000,13.600,16.600,3.000 
CG DRA,385,4,2452085.494400 24 Jun 2001 23:51:56.160000,2459414.465000 18 Jul 2021 23:09:36.000000,14.000,17.300,3.300 
CG GEM,1,1,2449277.516000 17 Oct 1993 00:23:02.400000,2449277.516000 17 Oct 1993 00:23:02.400000,11.800,11.800,0.000 
CH CYG,28255,167,2439863.300000 7 Jan 1968 19:12:00.000000,2459909.270000 25 Nov 2022 18:28:48.000000,5.040,10.700,5.660 
CH HER,586,2,2450580.489500 11 May 1997 23:44:52.800000,2459839.353000 16 Sep 2022 20:28:19.200000,13.870,16.100,2.230 
CH UMA,9932,61,2441619.440000 28 Oct 1972 22:33:36.000000,2459797.408000 5 Aug 2022 21:47:31.200000,10.400,15.600,5.200 
CH VIR,8,1,2454484.775700 19 Jan 2008 06:37:00.480000,2459705.479000 5 May 2022 23:29:45.600000,9.500,10.100,0.600 
CH VUL,2,1,2447766.377083 27 Aug 1989 21:02:59.971200,2447766.414583 27 Aug 1989 21:56:59.971200,10.400,10.400,0.000 
CHI AQR,1,1,2454056.317400 16 Nov 2006 19:37:03.360000,2454056.317400 16 Nov 2006 19:37:03.360000,5.900,5.900,0.000 
CHI CYG,24544,234,2393957.500000 2 May 1842 00:00:00.000000,2459904.408000 20 Nov 2022 21:47:31.200000,3.200,14.600,11.400 
CHI OPH,170,8,2444350.549000 21 Apr 1980 01:10:33.600000,2458996.469000 26 May 2020 23:15:21.600000,3.900,4.700,0.800 
CI AQL,961,11,2449541.537500 8 Jul 1994 00:54:00.000000,2459860.370000 7 Oct 2022 20:52:48.000000,8.900,15.600,6.700 
CI BOO,15,2,2448089.390000 16 Jul 1990 21:21:36.000000,2459455.396000 28 Aug 2021 21:30:14.400000,6.600,7.100,0.500 
CI CAM,405,4,2450910.420000 6 Apr 1998 22:04:48.000000,2454807.387500 6 Dec 2008 21:18:00.000000,10.500,14.100,3.600 
CI CEP,2,1,2447823.587500 24 Oct 1989 02:06:00.000000,2447823.606944 24 Oct 1989 02:33:59.961600,11.000,11.000,0.000 
CI CYG,10563,68,2441980.500000 25 Oct 1973 00:00:00.000000,2459906.289000 22 Nov 2022 18:56:09.600000,8.700,13.400,4.700 
CI GEM,783,7,2449652.492300 26 Oct 1994 23:48:54.720000,2459672.372000 2 Apr 2022 20:55:40.800000,13.600,17.700,4.100 
CI UMA,1285,3,2450774.501300 22 Nov 1997 00:01:52.320000,2459768.440000 7 Jul 2022 22:33:36.000000,13.500,17.000,3.500 
CI VIR,9,1,2445054.397000 25 Mar 1982 21:31:40.800000,2458990.501000 21 May 2020 00:01:26.400000,9.300,10.100,0.800 
CK CEP,1,1,2450599.519000 31 May 1997 00:27:21.600000,2450599.519000 31 May 1997 00:27:21.600000,9.700,9.700,0.000 
CK LYR,1,1,2449368.710000 16 Jan 1994 05:02:24.000000,2449368.710000 16 Jan 1994 05:02:24.000000,10.800,10.800,0.000 
CK ORI,3490,70,2440286.364000 5 Mar 1969 20:44:09.600000,2459633.336800 22 Feb 2022 20:04:59.520000,5.600,7.100,1.500 
CL CAS,1,1,2448317.324000 1 Mar 1991 19:46:33.600000,2448317.324000 1 Mar 1991 19:46:33.600000,10.700,10.700,0.000 
CL ORI,1,1,2449277.510000 17 Oct 1993 00:14:24.000000,2449277.510000 17 Oct 1993 00:14:24.000000,9.400,9.400,0.000 
CL PER,1,1,2448231.253000 5 Dec 1990 18:04:19.200000,2448231.253000 5 Dec 1990 18:04:19.200000,11.100,11.100,0.000 
CM CAS,2,1,2447878.313194 17 Dec 1989 19:30:59.961600,2447878.327083 17 Dec 1989 19:50:59.971200,11.000,11.000,0.000 
CM DEL,451,1,2451722.555500 27 Jun 2000 01:19:55.200000,2458687.526000 23 Jul 2019 00:37:26.400000,13.100,14.500,1.400 
CM LAC,115,3,2451426.378000 4 Sep 1999 21:04:19.200000,2458456.381000 3 Dec 2018 21:08:38.400000,8.000,8.900,0.900 
CN AUR,2,1,2447883.443056 22 Dec 1989 22:38:00.038400,2447883.457639 22 Dec 1989 22:59:00.009600,10.900,10.900,0.000 
CN CYG,16,4,2450476.200000 27 Jan 1997 16:48:00.000000,2455569.260400 7 Jan 2011 18:14:58.560000,8.500,13.800,5.300 
CN ORI,6858,63,2438311.687500 9 Oct 1963 04:30:00.000000,2459883.565000 31 Oct 2022 01:33:36.000000,10.720,15.600,4.880 
CN PER,1,1,2448152.410000 17 Sep 1990 21:50:24.000000,2448152.410000 17 Sep 1990 21:50:24.000000,11.100,11.100,0.000 
CN VUL,4,1,2447709.518056 2 Jul 1989 00:26:00.038400,2447740.432639 1 Aug 1989 22:23:00.009600,10.000,10.200,0.200 
CO AUR,229,5,2442427.437000 14 Jan 1975 22:29:16.800000,2454829.512500 29 Dec 2008 00:18:00.000000,7.300,8.300,1.000 
CO ORI,12,1,2459236.344000 21 Jan 2021 20:15:21.600000,2459658.330000 19 Mar 2022 19:55:12.000000,10.500,12.500,2.000 
CO SGE,1,1,2449518.527000 15 Jun 1994 00:38:52.800000,2449518.527000 15 Jun 1994 00:38:52.800000,11.500,11.500,0.000 
COMP EAST OF FG SGE,29,1,2451369.543000 10 Jul 1999 01:01:55.200000,2451865.395800 16 Nov 2000 21:29:57.120000,12.300,13.300,1.000 
CP CEP,1,1,2449950.446000 20 Aug 1995 22:42:14.400000,2449950.446000 20 Aug 1995 22:42:14.400000,10.200,10.200,0.000 
CP CRU,2,1,2456457.843000 14 Jun 2013 08:13:55.200000,2456477.824000 4 Jul 2013 07:46:33.600000,15.500,15.500,0.000 
CP DRA,1020,6,2451684.463800 19 May 2000 23:07:52.320000,2459763.450000 2 Jul 2022 22:48:00.000000,12.700,17.100,4.400 
CP LAC,7,1,2457298.453000 2 Oct 2015 22:52:19.200000,2457354.495000 27 Nov 2015 23:52:48.000000,14.100,14.500,0.400 
CP LYR,1,1,2448449.485000 11 Jul 1991 23:38:24.000000,2448449.485000 11 Jul 1991 23:38:24.000000,10.900,10.900,0.000 
CP VIR,1,1,2445084.456000 24 Apr 1982 22:56:38.400000,2445084.456000 24 Apr 1982 22:56:38.400000,8.900,8.900,0.000 
CQ CAS,1,1,2448572.375000 11 Nov 1991 21:00:00.000000,2448572.375000 11 Nov 1991 21:00:00.000000,8.900,8.900,0.000 
CQ Dra,1,1,2459518.339000 30 Oct 2021 20:08:09.600000,2459518.339000 30 Oct 2021 20:08:09.600000,7.600,7.600,0.000 
CQ TAU,61,2,2450476.420000 27 Jan 1997 22:04:48.000000,2459656.406000 17 Mar 2022 21:44:38.400000,9.100,11.100,2.000 
CR BOO,1116,8,2448272.774000 16 Jan 1991 06:34:33.600000,2459770.451000 9 Jul 2022 22:49:26.400000,12.000,15.900,3.900 
CSS 091014:023534+155153,96,1,2451520.375000 7 Dec 1999 21:00:00.000000,2458401.490000 9 Oct 2018 23:45:36.000000,15.000,16.600,1.600 
CSS 100615:215815+094709,26,1,2456955.313000 24 Oct 2014 19:30:43.200000,2459855.442000 2 Oct 2022 22:36:28.800000,14.900,15.500,0.600 
CSS 121005:212625+201948,24,1,2456868.449000 29 Jul 2014 22:46:33.600000,2457045.273290 22 Jan 2015 18:33:32.256000,17.500,18.600,1.100 
CSS 130418:174033+414756,357,1,2456887.403000 17 Aug 2014 21:40:19.200000,2459860.331000 7 Oct 2022 19:56:38.400000,14.200,15.800,1.600 
CSS 130905:210016-024258,4,1,2457992.512000 27 Aug 2017 00:17:16.800000,2458018.502000 22 Sep 2017 00:02:52.800000,14.800,14.800,0.000 
CSV 103049,32,3,2443832.399000 19 Nov 1978 21:34:33.600000,2445637.348600 29 Oct 1983 20:21:59.040000,5.900,7.000,1.100 
CSV 5972,130,1,2451769.411100 12 Aug 2000 21:51:59.040000,2459159.305500 5 Nov 2020 19:19:55.200000,8.800,10.600,1.800 
CT CHA,1,1,2456466.784000 23 Jun 2013 06:48:57.600000,2456466.784000 23 Jun 2013 06:48:57.600000,13.800,13.800,0.000 
CT DEL,69,3,2456710.729000 22 Feb 2014 05:29:45.600000,2458960.615000 21 Apr 2020 02:45:36.000000,6.900,8.200,1.300 
CT HYA,263,2,2450462.520800 14 Jan 1997 00:29:57.120000,2459688.418000 18 Apr 2022 22:01:55.200000,13.100,15.940,2.840 
CT Ori,3,1,2459268.413000 22 Feb 2021 21:54:43.200000,2459319.361000 14 Apr 2021 20:39:50.400000,10.200,10.800,0.600 
CU AQL,1,1,2449129.578000 22 May 1993 01:52:19.200000,2449129.578000 22 May 1993 01:52:19.200000,10.700,10.700,0.000 
CU CYG,11,1,2454649.472200 1 Jul 2008 23:19:58.080000,2456158.386800 18 Aug 2012 21:16:59.520000,10.400,14.300,3.900 
CV CVn,14,1,2459295.501000 22 Mar 2021 00:01:26.400000,2459737.493000 6 Jun 2022 23:49:55.200000,7.300,7.700,0.400 
CW CEP,13,2,2444252.290000 13 Jan 1980 18:57:36.000000,2450693.591700 2 Sep 1997 02:12:02.880000,7.600,8.300,0.700 
CW MON,175,3,2450116.493000 2 Feb 1996 23:49:55.200000,2453322.495800 12 Nov 2004 23:53:57.120000,12.100,15.330,3.230 
CX AND,1,1,2448193.295000 28 Oct 1990 19:04:48.000000,2448193.295000 28 Oct 1990 19:04:48.000000,10.100,10.100,0.000 
CX PER,1,1,2448985.382000 28 Dec 1992 21:10:04.800000,2448985.382000 28 Dec 1992 21:10:04.800000,11.800,11.800,0.000 
CY CrB,343,2,2457571.460000 1 Jul 2016 23:02:24.000000,2459860.319000 7 Oct 2022 19:39:21.600000,12.400,16.300,3.900 
CY CYG,1,1,2455388.487500 10 Jul 2010 23:42:00.000000,2455388.487500 10 Jul 2010 23:42:00.000000,13.900,13.900,0.000 
CY LYR,1494,9,2450370.326300 13 Oct 1996 19:49:52.320000,2459906.268000 22 Nov 2022 18:25:55.200000,12.000,16.400,4.400 
CY Ori,3,1,2459268.403000 22 Feb 2021 21:40:19.200000,2459319.368000 14 Apr 2021 20:49:55.200000,11.700,11.700,0.000 
CY UMA,1425,6,2448259.494400 2 Jan 1991 23:51:56.160000,2459739.446000 8 Jun 2022 22:42:14.400000,11.800,17.100,5.300 
CZ DRA,2,1,2447856.268750 25 Nov 1989 18:27:00.000000,2447856.290972 25 Nov 1989 18:58:59.980800,10.200,10.200,0.000 
CZ HER,1,1,2448477.398000 8 Aug 1991 21:33:07.200000,2448477.398000 8 Aug 1991 21:33:07.200000,10.700,10.700,0.000 
CZ ORI,9586,61,2441255.400000 30 Oct 1971 21:36:00.000000,2459877.681000 25 Oct 2022 04:20:38.400000,10.600,16.100,5.500 
D SER,48,3,2444420.479167 29 Jun 1980 23:30:00.028800,2458959.556000 20 Apr 2020 01:20:38.400000,5.100,5.800,0.700 
DA 55,12,1,2454506.278500 9 Feb 2008 18:41:02.400000,2455257.306900 1 Mar 2010 19:21:56.160000,14.900,16.000,1.100 
DD CYG,98,2,2450402.300000 14 Nov 1996 19:12:00.000000,2456158.385400 18 Aug 2012 21:14:58.560000,9.700,13.200,3.500 
DDE 20,78,1,2455782.465300 8 Aug 2011 23:10:01.920000,2459860.355000 7 Oct 2022 20:31:12.000000,14.800,17.150,2.350 
DDE 21,77,1,2455782.466700 8 Aug 2011 23:12:02.880000,2459860.356000 7 Oct 2022 20:32:38.400000,14.800,16.100,1.300 
DE CAS,1,1,2448543.388000 13 Oct 1991 21:18:43.200000,2448543.388000 13 Oct 1991 21:18:43.200000,11.100,11.100,0.000 
DE CNC,414,2,2449806.420100 29 Mar 1995 22:04:56.640000,2456421.407000 8 May 2013 21:46:04.800000,13.400,18.710,5.310 
DE CVN,517,1,2452319.550000 14 Feb 2002 01:12:00.000000,2459774.435000 13 Jul 2022 22:26:24.000000,10.000,14.600,4.600 
DELTA CEP,3416,50,2414902.426000 4 Sep 1899 22:13:26.400000,2459045.403000 14 Jul 2020 21:40:19.200000,2.900,4.900,2.000 
DELTA LIB,276,2,2411858.492361 5 May 1891 23:48:59.990400,2454289.422000 7 Jul 2007 22:07:40.800000,4.400,6.500,2.100 
DELTA ORI,17,1,2411735.500000 3 Jan 1891 00:00:00.000000,2412152.500000 24 Feb 1892 00:00:00.000000,2.300,2.600,0.300 
DELTA SCO,187,12,2451752.385000 26 Jul 2000 21:14:24.000000,2458937.563000 29 Mar 2020 01:30:43.200000,1.400,2.800,1.400 
DELTA UMA,217,7,2440420.524000 18 Jul 1969 00:34:33.600000,2459050.417000 19 Jul 2020 22:00:28.800000,2.100,4.400,2.300 
DELTA2 LYR,909,7,2440308.658000 28 Mar 1969 03:47:31.200000,2459107.326000 14 Sep 2020 19:49:26.400000,4.000,5.000,1.000 
DF CYG,464,2,2442552.486000 19 May 1975 23:39:50.400000,2459896.360000 12 Nov 2022 20:38:24.000000,10.100,13.800,3.700 
DF LEO,46,1,2445708.451000 8 Jan 1984 22:49:26.400000,2459721.430000 21 May 2022 22:19:12.000000,6.900,7.500,0.600 
DG HER,4,1,2447648.590972 2 May 1989 02:10:59.980800,2447675.526389 29 May 1989 00:38:00.009600,10.300,11.400,1.100 
DG PEG,4,1,2452992.291000 18 Dec 2003 18:59:02.400000,2453340.301400 30 Nov 2004 19:14:00.960000,10.800,14.100,3.300 
